Name,ID
All Areas,
DUKEU,98278
ALHC,98791
AHCC,98792
MEDICINE,98793
OPHTHAL,98794
POPHLTHSCI,98795
ALHG,98796
AHCG,98797
AHCG,98798
BIOSTATINF,98799
COM/FAMMD,98800
DUKEU,98801
DI,108684
DIV,98338
DIVN,98339
DIVINITY,98340
DUKEU,98802
EGRP,98809
EGR,98810
EGRMGMT,98811
FINTECH,98812
FUQ,98341
FUQUA,98342
FUQUA,98343
GEO,99169
GRAD,98300
A&S,98301
AADS,98813
AFRAMRST,98814
AMES,98815
ARABIC,110264
CHINESE,110261
HINDI,110266
JPN,110265
KOREAN,110267
ART&AHIST,98816
ARTS&SCI,98817
BIOCHEM,98818
BIOETHICS,98302
BIOLOGY,98819
BIOSTATINF,98820
CBB,98821
CELLBIOL,98822
CHEMISTRY,98823
CLASSICAL,98824
CMAC,98825
CMB,98826
COMPSCI,98827
CPRS,98828
CULANTHRO,98829
DANCE,98830
DECSCI,98831
DIBS,98832
DOCST,98833
DUKEU,98834
DWC,102968
EAS,98835
ECOLOGY,98836
ECONOMICS,98837
ECS,98838
EDUCATION,98839
ENGLISH,98840
EOS,98841
ETHICS,98842
EVANTH,98843
FUQUA,98844
GERMAN,98845
GLHLTH,98846
GRAD,98847
GSF,98848
HISTORY,98849
I&E,98850
ICS,98851
IGSP,98852
IMMUNOLOGY,98853
ISS,98854
JEWISH,98855
LACS,98856
LINGUISTCS,98857
LITERATURE,98858
LSGS,98859
MALS,98860
MARGOLIS,98861
MATH,98862
MDVL&REN,98863
MEDPHYS,98864
MFAEDA,98865
MGM,98866
MOLBIOPHY,98867
MOLECCANC,98868
MSC,98869
MUSIC,98870
NANOSCI,98871
NEUROBIOL,98872
NEUROSCIEN,98873
OBGE,98874
PATHOLOGY,98875
PHAR/CANC,98876
PHILOSOPHY,98877
PHYSICS,98878
POLICYJRNL,98880
POLISCI,98879
POPHLTHSCI,98881
PSYCHOLOGY,98882
RELIGION,98883
RIGHTS,98884
ROMANCE,98885
SLAVICS,98886
SOCIOLOGY,98887
SSRI,98888
STATSCI,98889
THEATRST,98890
UPG,98891
UWC,98892
EGR,98389
BIOMEDICAL,98893
CIV&ENV,98894
DUKEU,98895
EGRDEPT,98896
ELEC&CMP,98391
ENGINEERNG,98897
MECHANICAL,98390
GRAD,98898
DUKEU,98900
GRAD,98899
ML,102918
UPRG,98902
CMB,98903
MOLBIOPHY,98904
MSEG,98905
UPG,98906
INTR,98907
ITR,98908
DUKEU,98909
KDDU,98910
KUGD,98911
PAS,98912
KEGR,98913
KEGR,98914
EGRMGMT,98915
ELEC&CMP,98916
KGRD,98917
KGRD,98918
EAS,98919
GLHLTH,98920
GRAD,98921
MEDPHYS,98922
NURSING,98923
KPRF,98924
KPRF,98925
FUQUA,98926
KPRO,98927
KPRO,98928
ENVS,98929
NSOE,98930
PPS,98931
LAW,98291
LAW,98292
DUKEU,98901
LAW,98293
MED,98932
MED,98933
ANESTHESIO,98934
BAA,98935
COM/FAMMD,98936
DUKEU,98937
MDDEPT,98938
MEDICINE,98939
OB-GYN,98940
OPHTHAL,98941
ORTHO,98942
PATHOLOGY,98943
PEDIATRICS,98944
PSYCHIATRY,98945
RADIOLOGY,98947
RADONCOL,98946
SURGERY,98948
NSOE,98297
NSOE,98298
DUKEU,98803
ECS,98804
ENVS,98805
EOS,98806
NSOE,98299
NURS,98949
NUR,98950
DUKEU,98951
NURSING,98952
OT-D,98953
OT-D,98954
OCCUTHERA,98955
PPS,98294
PPS,98295
DUKEU,98807
PPS,98296
PT-D,98956
PT-D,98957
PHYSTHERA,98958
SL,100984
SUMMER SESSION,99168
TrinityCollegeofArtsandScience,104601
TestDept,104602
TestSub,104603
UGRD,98959
A&S,98960
AADS,98962
AFRAMRST,98963
AFROTC,98964
AMES,98965
ARABIC,110263
CHINESE,110262
HINDI,110268
JPN,110269
KOREAN,110270
AROTC,98966
ART&AHIST,98967
ARTS&SCI,98968
BIOCHEM,98969
BIOETHICS,98970
BIOLOGY,98971
CELLBIOL,98972
CHEMISTRY,98973
CLASSICAL,98974
CMAC,98975
COMPSCI,98976
CPRS,98977
CULANTHRO,98978
DANCE,98979
DECSCI,98980
DIBS,98981
DOCST,98982
DUKEU,98983
DWC,102969
EAS,98984
ECONOMICS,98985
ECS,98986
EDUCATION,98987
ENGLISH,98988
ENVS,98989
EOS,98990
ETHICS,98991
EVANTH,98992
FOCUS,98993
GERMAN,98994
GLHLTH,98995
GSF,98996
HISTORY,98997
HTH/PE/REC,98998
I&E,98999
ICS,99000
IGSP,99001
IMMUNOLOGY,99002
ISS,99003
JEWISH,99004
LACS,99005
LINGUISTCS,99006
LITERATURE,99007
LSGS,99008
MARGOLIS,99009
MATH,99010
MDVL&REN,99011
MGM,99012
MMS,99013
MSC,99014
MUSIC,99015
NEUROBIOL,99016
NEUROSCIEN,99017
NROTC,99018
NSOE,99019
PATHOLOGY,99020
PHAR/CANC,99021
PHILOSOPHY,99022
PHYSICS,99023
POLICYJRNL,99025
POLISCI,99024
PPS,99026
PSYCHOLOGY,99027
RELIGION,99028
RIGHTS,99088
ROMANCE,99029
FRENCH,104505
ITALIAN,104502
PORTUGUE,104503
SPANISH,104501
SEXUALITY,99030
SLAVICS,99031
SOCIOLOGY,99032
SSRI,99033
STATSCI,99034
THEATRST,99035
UWC,99036
EGR,98961
BIOMEDICAL,99037
CIV&ENV,99038
EGRDEPT,99039
ELEC&CMP,99040
ENGINEERNG,99041
MECHANICAL,99042
